rank,name,count,prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
2148,COMER,16893,5.73,82.57,12.47,0.47,0.67,1.72,2.1
2149,HAWK,16884,5.72,85.68,6.91,0.53,2.96,2.25,1.67
2196,BALDERAS,16576,5.62,4.38,0.27,0.71,0.24,0.22,94.19
2197,GIORDANO,16569,5.62,93.3,0.54,0.47,0.15,1.07,4.46
2198,PAPPAS,16559,5.61,94.25,0.41,0.68,0.19,1.04,3.43
2199,HENNING,16557,5.61,92.06,3.89,0.54,0.45,1.15,1.9
2200,MALLOY,16546,5.61,77.58,17.47,0.5,0.4,1.93,2.12
2200,SCHILLING,16546,5.61,94.77,0.32,0.68,0.42,1.51,2.3
2202,DUFF,16536,5.61,86.15,8.98,0.76,0.37,1.58,2.17
2203,CARRERA,16533,5.6,9.09,0.64,1.46,0.19,0.24,88.37
2204,BURKHART,16526,5.6,94.37,0.51,0.64,0.53,1.79,2.15
2205,ADAMSON,16515,5.6,85.7,8.91,0.65,0.64,1.69,2.42
2206,ARNETT,16499,5.59,85.56,8.7,0.63,0.73,2.15,2.22
2207,REAGAN,16491,5.59,92.05,2.5,0.68,0.54,1.67,2.55
2208,ANGUIANO,16479,5.59,3.64,0.22,0.1,0.18,0.2,95.66
2209,LINCOLN,16477,5.59,74.9,14.71,1.35,3.68,2.85,2.51
2210,TAMAYO,16474,5.58,4.64,0.48,9.46,0.13,0.83,84.45
2211,PERDUE,16464,5.58,80.5,14.49,0.39,0.63,2,1.98
2212,EASLEY,16459,5.58,62.25,31.14,0.66,1.08,2.72,2.15
2213,HOGUE,16457,5.58,78.14,11.27,4.68,1.49,1.97,2.45
2213,OROURKE,16457,5.58,94.11,0.58,0.71,0.66,1.31,2.62
2215,RINCON,16455,5.58,4.78,0.22,0.14,0.19,0.14,94.53
2216,ABERNATHY,16450,5.58,78.42,16.43,0.36,0.59,2.03,2.17
2217,ALTMAN,16448,5.58,92.21,2.98,0.66,0.37,1.19,2.59
2218,HUSTON,16435,5.57,86.98,7.56,0.52,0.63,1.76,2.56
2219,FOOTE,16425,5.57,80.82,11.49,0.48,2.11,2.23,2.86
2220,ENNIS,16419,5.57,83.19,11.51,0.64,0.58,1.81,2.26
2221,WHITING,16418,5.57,76.68,16.4,0.67,1.11,2.24,2.91
2222,CHADWICK,16415,5.56,88.41,5.64,0.49,0.62,1.89,2.95
2223,ADLER,16412,5.56,94.9,0.57,0.71,0.15,1.06,2.61
2224,BARNEY,16404,5.56,78.5,12.61,0.66,3.26,2.12,2.87
2225,ONTIVEROS,16382,5.55,4.8,0.21,0.26,0.21,0.27,94.24
2226,RING,16381,5.55,91.09,3.05,1.6,0.51,1.83,1.93
2227,RIDER,16352,5.54,89.38,3.82,0.72,1.9,1.96,2.22
2228,JOINER,16349,5.54,64.02,31.05,0.42,0.37,1.8,2.34
2229,GOLDSMITH,16346,5.54,79,16.29,0.54,0.31,1.74,2.12
2230,BAUM,16334,5.54,93.82,1.67,0.72,0.28,1.33,2.18
2231,RUFFIN,16324,5.53,13.75,80.4,0.25,0.15,3.11,2.35
2232,LAUGHLIN,16323,5.53,92.52,1.7,0.48,1.27,1.53,2.5
2233,RADER,16320,5.53,93.37,1.09,0.85,0.72,1.74,2.23
2234,BARON,16308,5.53,80.61,3.8,2.38,0.12,1.55,11.55
2235,TRIMBLE,16306,5.53,79.2,14.84,0.62,0.92,1.72,2.7
2236,HARE,16304,5.53,83.78,10.27,0.79,1.26,1.77,2.13
2237,RUSS,16300,5.53,71.63,22.9,0.51,0.53,2.45,1.98
2239,PARR,16286,5.52,87.69,4.84,1.91,0.68,2.06,2.81
2240,MONTANEZ,16281,5.52,5.2,1.04,0.6,0.18,0.22,92.76
2241,AARON,16276,5.52,66.02,25.61,1.3,0.56,2.22,4.28
2242,CLINTON,16263,5.51,65.28,27.15,0.68,1.25,2.77,2.86
2243,WOODALL,16260,5.51,83.21,11.59,0.43,0.89,2.01,1.88
2244,MARCUM,16246,5.51,94.92,0.83,0.4,0.57,1.61,1.67
2245,DOWLING,16238,5.5,87.3,7.05,0.61,0.43,1.69,2.92
