Rank,Name,US_Count,US_Rank,US_Percentage,UK_Percentage,Match_Score
1,Weaver,"16,192",2232,0.0052%,0.0040%,0.0175
2,Hanna,"16,509",2219,0.0053%,0.0041%,0.0272
3,Robbins,"16,266",2227,0.0053%,0.0039%,0.0273
4,Steele,"16,690",2215,0.0054%,0.0041%,0.0364
5,Wilcox,"16,015",2243,0.0052%,0.0041%,0.0418
6,Blackwell,"15,837",2256,0.0051%,0.0040%,0.0498
7,Horton,"16,430",2222,0.0053%,0.0042%,0.0502
8,Becker,"16,554",2217,0.0054%,0.0038%,0.0521
9,Wise,"16,950",2201,0.0055%,0.0041%,0.0555
10,Cochran,"16,720",2213,0.0054%,0.0038%,0.0579
11,Whitaker,"15,758",2263,0.0051%,0.0039%,0.0625
12,Dillon,"15,917",2250,0.0052%,0.0038%,0.0656
13,Goodman,"16,900",2203,0.0055%,0.0042%,0.0674
14,Malone,"15,658",2271,0.0051%,0.0041%,0.0711
15,Browning,"15,567",2279,0.0050%,0.0040%,0.0752
16,Marsh,"16,165",2234,0.0052%,0.0043%,0.0776
17,Farley,"16,151",2235,0.0052%,0.0037%,0.0779
18,Watts,"16,750",2211,0.0054%,0.0043%,0.0815
19,Everett,"15,681",2269,0.0051%,0.0042%,0.0816
20,Prince,"15,521",2283,0.0050%,0.0039%,0.0834
21,Huff,"16,820",2207,0.0054%,0.0037%,0.0841
22,Moody,"15,633",2273,0.0051%,0.0038%,0.0852
23,Merritt,"15,810",2259,0.0051%,0.0037%,0.0915
24,Noble,"15,365",2297,0.0050%,0.0040%,0.0943
25,Holden,"15,498",2285,0.0050%,0.0042%,0.0958
26,Hartman,"16,600",2218,0.0054%,0.0036%,0.1017
27,Hurley,"15,299",2303,0.0050%,0.0041%,0.1037
28,Kramer,"15,589",2277,0.0050%,0.0037%,0.1047
29,Boyer,"16,780",2209,0.0054%,0.0036%,0.1058
30,Baxter,"15,973",2246,0.0052%,0.0044%,0.1067
31,Kerr,"15,255",2307,0.0049%,0.0039%,0.1078
32,Shea,"15,935",2249,0.0052%,0.0036%,0.1080
33,Savage,"15,189",2313,0.0049%,0.0040%,0.1111
34,Hester,"15,476",2287,0.0050%,0.0037%,0.1125
35,Randolph,"15,277",2305,0.0049%,0.0038%,0.1142
36,Grimes,"15,703",2267,0.0051%,0.0036%,0.1178
37,Cooke,"15,343",2299,0.0050%,0.0043%,0.1222
38,Atkinson,"15,611",2275,0.0051%,0.0044%,0.1227
39,Nixon,"15,079",2323,0.0049%,0.0039%,0.1241
40,Ashley,"16,438",2221,0.0053%,0.0045%,0.1251
41,Spears,"16,447",2220,0.0053%,0.0035%,0.1251
42,Mcconnell,"15,035",2327,0.0049%,0.0040%,0.1258
43,Conrad,"16,650",2216,0.0054%,0.0035%,0.1271
44,Cotton,"15,123",2319,0.0049%,0.0038%,0.1276
45,Gentry,"15,431",2291,0.0050%,0.0036%,0.1333
46,Donnelly,"15,167",2315,0.0049%,0.0043%,0.1358
47,Keith,"15,387",2295,0.0050%,0.0044%,0.1361
48,Decker,"15,782",2261,0.0051%,0.0035%,0.1366
49,Gould,"17,050",2197,0.0055%,0.0045%,0.1380
50,Weeks,"14,947",2335,0.0048%,0.0038%,0.1432
