Match_Rank,Surname,US_Rank,US_Count,US_Per_100k,US_Percent,UK_Estimate_Percent,UK_Confidence,Match_Score,Pct_White,Pct_Hispanic,Pct_Black,Pct_Asian
1,HUSTON,2218,16435,5.57,0.00557%,0.00390%,MEDIUM,0.004160,86.98,2.56,7.56,0.52
2,RING,2226,16381,5.55,0.00555%,0.00388%,MEDIUM,0.004386,91.09,1.93,3.05,1.6
3,OROURKE,2213,16457,5.58,0.00558%,0.00391%,MEDIUM,0.005601,94.11,2.62,0.58,0.71
4,RIDER,2227,16352,5.54,0.00554%,0.00388%,MEDIUM,0.005766,89.38,2.22,3.82,0.72
5,PERDUE,2211,16464,5.58,0.00558%,0.00391%,MEDIUM,0.005999,80.5,1.98,14.49,0.39
6,REAGAN,2207,16491,5.59,0.00559%,0.00391%,MEDIUM,0.007397,92.05,2.55,2.5,0.68
7,ARNETT,2206,16499,5.59,0.00559%,0.00391%,MEDIUM,0.007678,85.56,2.22,8.7,0.63
8,ADAMSON,2205,16515,5.6,0.00560%,0.00392%,MEDIUM,0.008470,85.7,2.42,8.91,0.65
9,BURKHART,2204,16526,5.6,0.00560%,0.00392%,MEDIUM,0.008806,94.37,2.15,0.51,0.64
10,SCHILLING,2200,16546,5.61,0.00561%,0.00393%,MEDIUM,0.010076,94.77,2.3,0.32,0.68
11,HENNING,2199,16557,5.61,0.00561%,0.00393%,MEDIUM,0.010412,92.06,1.9,3.89,0.54
12,GIORDANO,2197,16569,5.62,0.00562%,0.00393%,MEDIUM,0.011266,93.3,4.46,0.54,0.47
13,ROSENTHAL,2194,16583,5.62,0.00562%,0.00393%,MEDIUM,0.011927,92.72,2.82,2.29,0.78
14,MARCUM,2244,16246,5.51,0.00551%,0.00386%,MEDIUM,0.012141,94.92,1.67,0.83,0.4
15,HONEYCUTT,2192,16587,5.62,0.00562%,0.00393%,MEDIUM,0.012270,90.91,1.73,4.41,0.39
16,BAER,2192,16587,5.62,0.00562%,0.00393%,MEDIUM,0.012270,94.82,2.26,0.58,0.83
17,JANSEN,2189,16596,5.63,0.00563%,0.00394%,MEDIUM,0.013204,93.56,2.35,0.87,1.02
18,GAGE,2187,16614,5.63,0.00563%,0.00394%,MEDIUM,0.013803,81.94,2.73,12.01,0.58
19,THAYER,2186,16625,5.64,0.00564%,0.00395%,MEDIUM,0.014503,93.07,2.17,0.91,0.81
20,STONER,2246,16204,5.49,0.00549%,0.00384%,MEDIUM,0.014608,91.13,1.97,4.38,0.48
