Rank_Match,Surname,Census_Rank,Count,Per_100k,US_Percent,Distance_Score
1,CHADWICK,2222,16415,5.56,0.00556%,0.000633
2,BARNEY,2224,16404,5.56,0.00556%,0.000937
3,WHITING,2221,16418,5.57,0.00557%,0.003064
4,ENNIS,2220,16419,5.57,0.00557%,0.003575
5,FOOTE,2219,16425,5.57,0.00557%,0.004390
6,ONTIVEROS,2225,16382,5.55,0.00555%,0.004526
7,RING,2226,16381,5.55,0.00555%,0.005037
8,HUSTON,2218,16435,5.57,0.00557%,0.005449
9,ALTMAN,2217,16448,5.58,0.00558%,0.008490
10,RIDER,2227,16352,5.54,0.00554%,0.009052
11,ABERNATHY,2216,16450,5.58,0.00558%,0.009061
12,JOINER,2228,16349,5.54,0.00554%,0.009685
13,RINCON,2215,16455,5.58,0.00558%,0.009816
14,GOLDSMITH,2229,16346,5.54,0.00554%,0.010318
15,HOGUE,2213,16457,5.58,0.00558%,0.010837
16,OROURKE,2213,16457,5.58,0.00558%,0.010837
17,EASLEY,2212,16459,5.58,0.00558%,0.011409
18,BAUM,2230,16334,5.54,0.00554%,0.011499
19,PERDUE,2211,16464,5.58,0.00558%,0.012164
20,TAMAYO,2210,16474,5.58,0.00558%,0.013223
21,RUFFIN,2231,16324,5.53,0.00553%,0.014356
22,LAUGHLIN,2232,16323,5.53,0.00553%,0.014867
23,RADER,2233,16320,5.53,0.00553%,0.015500
24,LINCOLN,2209,16477,5.59,0.00559%,0.015654
25,ANGUIANO,2208,16479,5.59,0.00559%,0.016226
26,BARON,2234,16308,5.53,0.00553%,0.016681
27,TRIMBLE,2235,16306,5.53,0.00553%,0.017252
28,REAGAN,2207,16491,5.59,0.00559%,0.017407
29,HARE,2236,16304,5.53,0.00553%,0.017824
30,ARNETT,2206,16499,5.59,0.00559%,0.018344
31,RUSS,2237,16300,5.53,0.00553%,0.018518
32,AHMAD,2238,16291,5.52,0.00552%,0.021315
33,ADAMSON,2205,16515,5.6,0.00560%,0.021567
34,PARR,2239,16286,5.52,0.00552%,0.022069
35,BURKHART,2204,16526,5.6,0.00560%,0.022687
36,MONTANEZ,2240,16281,5.52,0.00552%,0.022824
37,CARRERA,2203,16533,5.6,0.00560%,0.023564
38,AARON,2241,16276,5.52,0.00552%,0.023578
39,DUFF,2202,16536,5.61,0.00561%,0.025995
40,CLINTON,2242,16263,5.51,0.00551%,0.026619
41,WOODALL,2243,16260,5.51,0.00551%,0.027251
42,MALLOY,2200,16546,5.61,0.00561%,0.027504
43,SCHILLING,2200,16546,5.61,0.00561%,0.027504
44,MARCUM,2244,16246,5.51,0.00551%,0.028554
45,HENNING,2199,16557,5.61,0.00561%,0.028624
46,PAPPAS,2198,16559,5.61,0.00561%,0.029196
47,DOWLING,2245,16238,5.5,0.00550%,0.031290
48,GIORDANO,2197,16569,5.62,0.00562%,0.032053
49,BALDERAS,2196,16576,5.62,0.00562%,0.032930
50,PICKENS,2195,16577,5.62,0.00562%,0.033441
